CONTRATO ;DATA ;PAÍS ;PAÍS ;NATUREZA ;VALORES REAIS ;TAXA ;MOEDA ;VALORES ESTR;EMPRESA;BANCO;TIPO;ID;ARQUIVO
227072949;06/01/2020;DK;DINAMARCA;12012;64.435,55;4,5698;EUR;14.100,30;HYDRO PRECISION TUBING TONDER A.S;santander;importação;7;227072949.pdf
227072290;06/01/2020;IT;ITALIA;12012;13.231,22;4,5698;EUR;2.895,36;OAK EUROPA S.R.L.;santander;importação;5;227072290.pdf
227727935;09/01/2020;US;ESTADOS UNIDOS DA AMERICA;12012;573.333,83;4,077;USD;140.626,40;SENSATA TECHNOLOGIES;santander;importação;10;227727935.pdf
227818422;10/01/2020;IT;ITALIA;12012;16.118,98;4,538;EUR;3.552,00;HELIUM TECHNOLOGY S.R.L;santander;importação;57;227818422.pdf
227818161;10/01/2020;IT;ITALIA;12012;81.773,53;4,538;EUR;18.019,73;GRAZIOLI CESARE S.R.L.;santander;importação;55;227818161.pdf
227816332;10/01/2020;IT;ITALIA;12012;77.221,88;4,538;EUR;17.016,72;SICREM SPA;santander;importação;52;227816332.pdf
227816331;10/01/2020;IT;ITALIA;12012;26.045,40;4,538;EUR;5.739,40;CLEANING INDUSTRIALE S.A.S. DI PRIARONE RICCARDO E C.;santander;importação;50;227816331.pdf
227815855;10/01/2020;IT;ITALIA;12012;3.449,92;4,538;EUR;760,23;FAST MILANO S.R.L;santander;importação;48;227815855.pdf
227815758;10/01/2020;IT;ITALIA;12012;2.917,98;4,538;EUR;643,01;A.RAYMOND S.R.L;santander;importação;45;227815758.pdf
227815755;10/01/2020;IT;ITALIA;12012;1.061,89;4,538;EUR;234;INDUSTRIE LISA  SRL - LOGISTIC;santander;importação;43;227815755.pdf
227815664;10/01/2020;IT;ITALIA;12012;11.231,55;4,538;EUR;2.475,00;DAIRE CHEMICALS SPA;santander;importação;41;227815664.pdf
227815433;10/01/2020;FR;FRANCA;12012;50.458,02;4,538;EUR;11.119,00;SCHRADER S.A.S;santander;importação;38;227815433.pdf
227815155;10/01/2020;FR;FRANCA;12036;8.994,32;4,538;EUR;1.982,00;SCHRADER S.A.S;santander;importação;36;227815155.pdf
227815109;10/01/2020;DE;ALEMANHA;12012;1.924,66;4,538;EUR;424,12;SINCLAIR RUSH LIMITED;santander;importação;34;227815109.pdf
227814764;10/01/2020;DE;ALEMANHA;12012;9.354,27;4,538;EUR;2.061,32;HQT HIGH QUALITY;santander;importação;31;227814764.pdf
227814437;10/01/2020;IT;ITALIA;12012;3.208,28;4,538;EUR;706,98;DLM S.R.L;santander;importação;28;227814437.pdf
227813638;10/01/2020;HK;HONG KONG;12012;88.771,65;4,0815;USD;21.749,76;CHINA IN TRADING LIMITED.;santander;importação;23;227813638.pdf
227813190;10/01/2020;CN;CHINA;12012;7.072,42;4,0815;USD;1.732,80;CARFLEX AUTO PARTS CO., LIMITED;santander;importação;21;227813190.pdf
227812849;10/01/2020;US;ESTADOS UNIDOS DA AMERICA;12012;1.612,19;4,0815;USD;395;SCHRADER -BRIDGEPORT INTERNATIONAL, INC;santander;importação;18;227812849.pdf
227812598;10/01/2020;US;ESTADOS UNIDOS DA AMERICA;12012;17.138,22;4,0815;USD;4.199,00;PACIFIC MANUFACTURING;santander;importação;16;227812598.pdf
229608072;30/01/2020;IT;ITALIA;12012;13.616,88;4,703;EUR;2.895,36;OAK EUROPA S.R.L;santander;importação;63;229608072-CT-0.PDF
230446798;06/02/2020;IT;ITALIA;47575;24.296,15;4,689;EUR;5.181,52;SME UP S.P.A;santander;importação;84;230446798.pdf
230445920;06/02/2020;IT;ITALIA;47056;13.676,27;4,689;EUR;2.916,67;SUMIRIKO ITALY SPA;santander;importação;82;230445920.pdf
230444941;06/02/2020;FR;FRANCA;47197;1.406,70;4,689;EUR;300;LUCAS MILHAUPT;santander;importação;80;230444941.pdf
230410869;06/02/2020;DE;ALEMANHA;12012;17.341,89;4,689;EUR;3.698,42;HQT HIGH QUALITY;santander;importação;78;230410869.pdf
230406509;06/02/2020;IT;ITALIA;12012;548,61;4,689;EUR;117;INDUSTRIE LISA  SRL - LOGISTIC;santander;importação;76;230406509.pdf
230405920;06/02/2020;IT;ITALIA;12012;46.952,55;4,689;EUR;10.013,34;SICREM SPA;santander;importação;74;230405920.pdf
230405093;06/02/2020;IT;ITALIA;12012;597,85;4,689;EUR;127,5;SUMIRIKO ITALY SPA;santander;importação;72;230405093.pdf
230404939;06/02/2020;TN;TUNISIA;12012;13.576,34;4,689;EUR;2.895,36;SUMIRIKO TUNISIA;santander;importação;70;230404939.pdf
230404198;06/02/2020;IT;ITALIA;12012;16.137,19;4,689;EUR;3.441,50;WONDER S.P.A;santander;importação;68;230404198.pdf
230397089;06/02/2020;US;ESTADOS UNIDOS DA AMERICA;12036;1.684,28;4,264;USD;395;SCHRADER -BRIDGEPORT INTERNATIONAL, INC.;santander;importação;66;230397089.pdf
231424535;17/02/2020;CN;CHINA;12012;11.457,27;4,332;USD;2.644,80;CARFLEX AUTO PARTS CO., LIMITED;santander;importação;100;231424535.pdf
231424250;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;16.851,48;4,332;USD;3.890,00;PACIFIC MANUFACTURING;santander;importação;98;231424250.pdf
231423501;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;516.551,15;4,332;USD;119.240,80;SENSATA TECHNOLOGIES;santander;importação;96;231423501.pdf
231419246;17/02/2020;DE;ALEMANHA;12012;3.789,74;4,699;EUR;806,5;SOLVAY FLUX GMBH;santander;importação;94;231419246.pdf
231419131;17/02/2020;FR;FRANCA;12012;156.850,27;4,699;EUR;33.379,50;SCHRADER S.A.S;santander;importação;92;231419131.pdf
231418999;17/02/2020;IT;ITALIA;12012;7.340,97;4,699;EUR;1.562,24;DLM S.R.L;santander;importação;90;231418999.pdf
231418895;17/02/2020;IT;ITALIA;12012;2.857,84;4,699;EUR;608,18;A.RAYMOND S.R.L;santander;importação;88;231418895.pdf
231418736;17/02/2020;DE;ALEMANHA;12012;1.328,60;4,699;EUR;282,74;SINCLAIR RUSH LIMITED;santander;importação;86;231418736.pdf
233642588;05/03/2020;IT;ITALIA;12012;2.065,07;5,1821;EUR;398,5;ITALBRAS S.P.A.;santander;importação;122;233642588.pdf
234184643;11/03/2020;BE;BELGICA;12012;34.298,83;5,316;EUR;6.452,00;SOLVAY FLUX GMBH;santander;importação;129;234184643.pdf
234183634;11/03/2020;FR;FRANCA;12012;7.492,58;5,316;EUR;1.409,44;LUCAS MILHAUPT;santander;importação;127;234183634.pdf
234176405;11/03/2020;IT;ITALIA;12012;3.758,31;5,316;EUR;706,98;DLM S.R.L;santander;importação;125;234176405.pdf
235562827;25/03/2020;IT;ITALIA;12012;15.985,28;5,521;EUR;2.895,36;OAK EUROPE S.R.L.;santander;importação;131;235562827.pdf
235820815;31/03/2020;US;ESTADOS UNIDOS DA AMERICA;12012;769.445,57;5,2386;USD;146.880,00;SENSATA TECHNOLOGIES, INC.;santander;importação;138;235820815.pdf
237335294;17/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;308.413,09;5,283;USD;58.378,40;SENSATA TECHNOLOGIES, INC.;santander;importação;174;237335294.pdf
237334840;17/04/2020;IT;ITALIA;12012;54.176,74;5,7595;EUR;9.406,50;WONDER S.P.A;santander;importação;172;237334840.pdf
237327019;17/04/2020;IT;ITALIA;12012;12.947,36;5,7595;EUR;2.248,00;KEMI S.R.L;santander;importação;170;237327019.pdf
237324879;17/04/2020;IT;ITALIA;12012;1.347,72;5,7595;EUR;234;INDUSTRIE LISA SRL - LOGISTIC;santander;importação;168;237324879.pdf
237322879;17/04/2020;DE;ALEMANHA;12012;27.469,88;5,7595;EUR;4.769,49;HQT HIGH QUALITY;santander;importação;166;237322879.pdf
237321260;17/04/2020;IT;ITALIA;12012;103.454,33;5,7595;EUR;17.962,38;SICREM SPA;santander;importação;164;237321260.pdf
237320653;17/04/2020;IT;ITALIA;12012;1.670,26;5,7595;EUR;290;MARKING PRODUCTS;santander;importação;162;237320653.pdf
237320179;17/04/2020;IT;ITALIA;12012;7.112,06;5,7595;EUR;1.234,84;DLM S.R.L.;santander;importação;160;237320179.pdf
237319440;17/04/2020;FR;FRANCA;12012;188.963,44;5,7595;EUR;32.809,00;SCHRADER S.A.S.;santander;importação;158;237319440.pdf
237317338;17/04/2020;IT;ITALIA;12012;17.508,88;5,7595;EUR;3.040,00;SKG ITALIA;santander;importação;156;237317338.pdf
237315881;17/04/2020;IT;ITALIA;12012;3.025,12;5,7595;EUR;525,24;A.RAYMOND ITALIANA  S.R.L;santander;importação;153;237315881.pdf
237314571;17/04/2020;IT;ITALIA;12012;14.254,76;5,7595;EUR;2.475,00;DAIRE CHEMICALS S.R.L.;santander;importação;150;237314571.pdf
237312643;17/04/2020;IT;ITALIA;12012;4.378,54;5,7595;EUR;760,23;FAST MILANO S.R.L.;santander;importação;147;237312643.pdf
237311437;17/04/2020;BE;BELGICA;12012;32.515,26;5,7595;EUR;5.645,50;SOLVAY SA;santander;importação;145;237311437.pdf
237310982;17/04/2020;DK;DINAMARCA;12012;12.067,59;5,7595;EUR;2.095,25;HYDRO PRECISION TUBING TONDER A.S.;santander;importação;143;237310982.pdf
238034616;29/04/2020;CN;CHINA;12036;20.538,29;5,4291;USD;3.783,00;CARFLEX AUTO PARTS CO., LIMITED;santander;importação;194;238034616.pdf
238033392;29/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;948.793,86;5,4291;USD;174.760,80;SENSATA TECHNOLOGIES, INC.;santander;importação;192;238033392.pdf
238033023;29/04/2020;HK;HONG KONG;12012;59.040,81;5,4291;USD;10.874,88;CHINA IN TRADING LIMITED;santander;importação;190;238033023-CT-0.PDF
238032185;29/04/2020;TH;TAILANDIA;12012;13.114,53;5,4291;USD;2.415,60;TEIJIN CORD THAILAND CO., LTD.;santander;importação;189;238032185-CT-0.PDF
238031951;29/04/2020;US;ESTADOS UNIDOS DAAMERICA;12012;2.144,49;5,4291;USD;395;SCHRADER BRIDGEPORT  INTERNATIONAL, INC;santander;importação;188;238031951-CT-0.PDF
238031595;29/04/2020;US;ESTADOS UNIDOS DAAMERICA;12012;23.307,13;5,4291;USD;4.293,00;PACIFIC MANUFACTURING;santander;importação;187;238031595-CT-0.PDF
238030097;29/04/2020;CN;CHINA;12012;14.924,05;5,4291;USD;2.748,90;JIANGSU ALUTEC MACHINERY CO LT;santander;importação;186;238030097-CT-0.PDF
238028219;29/04/2020;IT;ITALIA;12012;431,72;5,8938;EUR;73,25;CLEANING INDUSTRIALE S.A.S. DI PRIARONE RICCARDO E C.;santander;importação;185;238028219.pdf
238026086;29/04/2020;FR;FRANCA;12012;9.736,09;5,8938;EUR;1.651,92;LUCAS MILHAUPT;santander;importação;179;238026086.pdf
238025890;29/04/2020;IT;ITALIA;12012;35.834,30;5,8938;EUR;6.080,00;SKG ITALIA;santander;importação;177;238025890.pdf
238781801;11/05/2020;IT;ITALIA;12012;13.764,57;6,235;EUR;2.207,63;KEMI SRL;santander;exportação;200;238781801.pdf
239013538;12/05/2020;IT;ITALIA;12012;107.047,69;6,311;EUR;16.962,08;SICREM SPA;santander;importação;226;239013538.pdf
238937740;12/05/2020;IT;ITALIA;47575;33.648,93;6,311;EUR;5.331,79;SME UP S.P.A.;santander;importação;224;238937740.pdf
238936829;12/05/2020;IT;ITALIA;12012;169.208,01;6,311;EUR;26.811,60;HELIUM TECHNOLOGY S.R.L;santander;importação;222;238936829.pdf
238936646;12/05/2020;IT;ITALIA;12012;18.374,48;6,311;EUR;2.911,50;WONDER S.P.A.;santander;importação;220;238936646.pdf
238935819;12/05/2020;DE;ALEMANHA;12012;26.243,85;6,311;EUR;4.158,43;HQT HIGH QUALITY;santander;importação;218;238935819.pdf
238935702;12/05/2020;FR;FRANCA;12012;13.485,85;6,311;EUR;2.136,88;LUCAS MILHAUPT;santander;importação;216;238935702.pdf
238932172;12/05/2020;IT;ITALIA;12012;785,72;6,311;EUR;124,5;SUMIRIKO ITALY SPA;santander;importação;214;238932172.pdf
238931730;12/05/2020;US;ESTADOS UNIDOS DA AMERICA;12012;4.577,26;5,794;USD;790;SCHRADER BRIDGEPORT INTERNATIONAL, INC.;santander;importação;212;238931730.pdf
238931628;12/05/2020;US;ESTADOS UNIDOS DA AMERICA;12012;53.304,80;5,794;USD;9.200,00;PACIFIC MANUFACTURING;santander;importação;210;238931628.pdf
239975306;26/05/2020;IT;ITALIA;12005;6.083,11;5,841;EUR;1.041,45;SUMIRIKO ITALY SPA;santander;exportação;230;239975306.pdf
240928766;05/06/2020;US;ESTADOS UNIDOS DA AMERICA;12012;570.940,04;5,008;USD;114.005,60;SENSATA TECHNOLOGIES, INC.;santander;importação;234;240928766.pdf
