CONTRATO ;DATA ;PAÖS ;PAÖS ;NATUREZA ;VALORES REAIS ;TAXA ;MOEDA ;VALORES ESTR;EMPRESA;BANCO;TIPO;ID;ARQUIVO
227034803;06/01/2020;DE;ALEMANHA;12012;2.741,88;4,5698;EUR;600;AFT AUTOMOTIVE;santander;importa‡Æo;276;Aviso 227034803.pdf
227035867;06/01/2020;DE;ALEMANHA;12012;11.433,64;4,5698;EUR;2.502,00;ALFMEIER PRAZISION;santander;importa‡Æo;277;Aviso 227035867.pdf
227036740;06/01/2020;DK;DINAMARCA;12012;59.945,72;4,5698;EUR;13.117,80;HYDRO PRECISION;santander;importa‡Æo;278;Aviso 227036740.pdf
227084952;06/01/2020;DE;ALEMANHA;47197;13.709,40;4,5698;EUR;3.000,00;INSTITUT FUR LUFT - UND KALTETECHNIK GEMEINNUTZIGE GMBH, FC;santander;importa‡Æo;279;AVISO 227084952.pdf
227811214;10/01/2020;CH;SUICA;12012;760.886,46;4,538;EUR;167.670,00;EMS-CHEMIE AG;santander;importa‡Æo;280;Aviso 227811214.pdf
227811320;10/01/2020;IT;ITALIA;12012;19.906,44;4,538;EUR;4.386,61;C.F ITALIA S.R.L;santander;importa‡Æo;281;Aviso 227811320.pdf
227811519;10/01/2020;DE;ALEMANHA;12012;36.803,18;4,538;EUR;8.110,00;AFT AUTOMOTIVE GMBH;santander;importa‡Æo;282;AVISO 227811519.pdf
227812479;10/01/2020;IL;ISRAEL;12012;206.655,07;4,538;EUR;45.538,80;RAVAL ACS;santander;importa‡Æo;283;Aviso 227812479.pdf
227812860;10/01/2020;DE;ALEMANHA;12012;2.540,37;4,538;EUR;559,8;NORMA GERMANY GMBH;santander;importa‡Æo;284;Aviso 227812860.pdf
227813779;10/01/2020;US;ESTADOS UNIDOS DA AMERICA;12012;255.420,27;4,0815;USD;62.580,00;COOPER STANDARD AUTOMOTIVE INC;santander;importa‡Æo;285;Aviso 227813779.pdf
227814054;10/01/2020;KR;REPUBLICA DA COREA;12012;28.676,08;4,538;EUR;6.319,10;SEAH FS CO., LTD.;santander;importa‡Æo;286;Aviso 227814054.pdf
227814164;10/01/2020;US;ESTADOS UNIDOS DA AMERICA;12012;3.346,83;4,0815;USD;820;ALFMEIER FRIEDRICHS AND RATH LLC;santander;importa‡Æo;287;Aviso 227814164.pdf
227814476;10/01/2020;ES;ESPANHA;12012;128.255,23;4,538;EUR;28.262,50;UBE CORPORATION EUROPE;santander;importa‡Æo;288;Aviso 227814476.pdf
227814765;10/01/2020;DE;ALEMANHA;12012;7.487,70;4,538;EUR;1.650,00;PASS GMBH AND CO. KG;santander;importa‡Æo;289;Aviso 227814765.pdf
227815461;10/01/2020;FR;FRANCA;12012;23.100,24;4,538;EUR;5.090,40;NORMA AUTOLINE FRANCE SAS;santander;importa‡Æo;290;Aviso 227815461.pdf
227815828;10/01/2020;IT;ITALIA;12012;17.279,57;4,538;EUR;3.807,75;NATIONAL MOLDING;santander;importa‡Æo;291;Aviso 227815828.pdf
227816548;10/01/2020;IT;ITALIA;12012;7.374,25;4,538;EUR;1.625,00;GRAZIOLI CESARE S.R.;santander;importa‡Æo;292;Aviso 227816548.pdf
228578016;20/01/2020;TN;TUNISIA;12036;2.590,56;4,626;EUR;560;SUMIRIKO AUTOMOTIVE HOSE TUNISIA SARL;santander;exporta‡Æo;293;Aviso 228578016.pdf
229026770;23/01/2020;ES;ESPANHA;12012;598.404,80;4,646;EUR;128.800,00;UBE CORPORATION EUROPE;santander;importa‡Æo;294;Aviso 229026770.pdf
229158754;24/01/2020;US;ESTADOS UNIDOS DA AMERICA;12012;105.018,08;4,191;USD;25.058,00;INGEVITY CORPORATION;santander;importa‡Æo;295;Aviso 229158754.pdf
229309499;28/01/2020;IT;ITALIA;12005;22.082,54;4,647;EUR;4.752,00;SUMIRIKO ITALY SPA;santander;exporta‡Æo;61;229309499-CT-0.PDF
229316407;28/01/2020;FR;FRANCA;12012;35.633,20;4,647;EUR;7.668,00;NORMA AUTOLINE FRANCE SAS;santander;importa‡Æo;62;229316407-CT-0.PDF
229608223;30/01/2020;DK;DINAMARCA;12012;44.831,35;4,703;EUR;9.532,50;HYDRO PRECISION TUBING TONDER A.S;santander;importa‡Æo;64;229608223-CT-0.PDF
231428791;17/02/2020;IT;ITALIA;12012;14.022,57;4,699;EUR;2.984,16;A RAYMOND ITALIANA SRL;santander;importa‡Æo;296;Aviso 231428791.pdf
231429231;17/02/2020;DE;ALEMANHA;12012;37.451,03;4,699;EUR;7.970,00;AFT AUTOMOTIVE;santander;importa‡Æo;297;Aviso 231429231.pdf
231429384;17/02/2020;IT;ITALIA;12012;25.711,75;4,699;EUR;5.471,75;C.F ITALIA S.R.L;santander;importa‡Æo;298;Aviso 231429384.pdf
231429560;17/02/2020;CH;SUICA;12012;155.243,21;4,699;EUR;33.037,50;EMS-CHEMIE AG;santander;importa‡Æo;299;Aviso 231429560.pdf
231429744;17/02/2020;KR;REPUBLICA DA COREA;12012;18.645,87;4,699;EUR;3.968,05;SEAH FS CO., LTD.;santander;importa‡Æo;300;Aviso 231429744.pdf
231430410;17/02/2020;IT;ITALIA;47197;18.796,00;4,699;EUR;4.000,00;SUMIRIKO ITALY SPA;santander;importa‡Æo;301;Aviso 231430410.pdf
231434258;17/02/2020;IT;ITALIA;47575;101.390,37;4,699;EUR;21.577,01;SME UP S.P.A;santander;importa‡Æo;302;Aviso 231434258.pdf
231435390;17/02/2020;IT;ITALIA;12012;27.013,80;4,699;EUR;5.748,84;SUMIRIKO ITALY SPA;santander;importa‡Æo;303;Aviso 231435390.pdf
231435472;17/02/2020;DE;ALEMANHA;12012;74.080,67;4,332;USD;17.100,80;ROBERT BOSCH LLC;santander;importa‡Æo;304;Aviso 231435472.pdf
231436563;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;5.815,71;4,332;USD;1.342,50;OETIKER INC.;santander;importa‡Æo;305;Aviso 231436563.pdf
231437464;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;149.607,79;4,332;USD;34.535,50;KURARAY AMERICA;santander;importa‡Æo;306;Aviso 231437464.pdf
231438385;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;4.765,20;4,332;USD;1.100,00;KELNER ZAR MARKETING;santander;importa‡Æo;307;Aviso 231438385.pdf
231440779;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;212.090,39;4,332;USD;48.959,00;INGEVITY CORPORATION;santander;importa‡Æo;308;Aviso 231440779.pdf
231442884;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;142.132,92;4,332;USD;32.810,00;COOPER STANDARD;santander;importa‡Æo;309;Aviso 231442884.pdf
231443692;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;1.819,44;4,332;USD;420;ALFMEIER FRIEDRICHS AND RATH LLC;santander;importa‡Æo;310;Aviso 231443692.pdf
231445406;17/02/2020;US;ESTADOS UNIDOS DA AMERICA;12012;279.590,75;4,332;USD;64.540,80;SENSATA TECHNOLOGIES;santander;importa‡Æo;311;Aviso 231445406.pdf
231448524;17/02/2020;SE;SUECIA;12012;400,91;0,453;SEK;885;ASCO METALL AB;santander;importa‡Æo;312;Aviso 231448524.pdf
231555740;18/02/2020;DE;ALEMANHA;12012;18.257,72;4,729;EUR;3.860,80;HALTERMANN CARLESS DEUTSCHLAND GMBH;santander;importa‡Æo;313;Aviso 231555740.pdf
232082103;21/02/2020;SE;SUECIA;12005;17.547,15;0,447;SEK;39.255,38;GNOTEC SWEDEN AB;santander;exporta‡Æo;314;Aviso 232082103.pdf
232293083;26/02/2020;IT;ITALIA;12005;29.454,04;4,7815;EUR;6.160,00;SUMIRIKO ITALY SPA;santander;exporta‡Æo;315;Aviso 232293083.pdf
233764732;06/03/2020;US;ESTADOS UNIDOS DA AMERICA;12012;12.969,20;4,663;USD;2.781,30;MITSUI CHEMICALS AMERICA, INC.;santander;importa‡Æo;316;Aviso 233764732.pdf
235563258;25/03/2020;IT;ITALIA;12005;11.660,35;5,521;EUR;2.112,00;SUMIRIKO ITALY SPA;santander;exporta‡Æo;317;Aviso 235563258.pdf
235564902;25/03/2020;ES;ESPANHA;12012;913.953,24;5,521;EUR;165.541,25;UBE CORPORATION EUROPE;santander;importa‡Æo;318;Aviso 235564902.pdf
235810205;31/03/2020;JP;JAPAO;12012;114.123,63;5,2386;USD;21.785,14;SUMITOMO RIKO COMPANY LIMITED;santander;importa‡Æo;319;Aviso 235810205.pdf
235818382;31/03/2020;DE;ALEMANHA;12012;11.963,10;5,7377;EUR;2.085,00;ALFMEIER PRAZISION SE;santander;importa‡Æo;320;Aviso 235818382.pdf
235818721;31/03/2020;ES;ESPANHA;12012;210.810,27;5,7377;EUR;36.741,25;UBE CORPORATION EUROPE;santander;importa‡Æo;321;Aviso 235818721.pdf
236621364;07/04/2020;IL;ISRAEL;12012;129.613,67;5,738;EUR;22.588,65;RAVAL ACS LTD;santander;importa‡Æo;322;Aviso 236621364.pdf
237310789;17/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;276.116,00;5,283;USD;52.265,00;INGEVITY CORPORATION;santander;importa‡Æo;323;Aviso 237310789.pdf
237310880;17/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;188.154,78;5,283;USD;35.615,14;SENSATA TECHNOLOGIES, INC.;santander;importa‡Æo;324;Aviso 237310880.pdf
237314446;17/04/2020;DE;ALEMANHA;12012;71.705,78;5,7595;EUR;12.450,00;AFT AUTOMOTIVE GMBH;santander;importa‡Æo;325;Aviso 237314446.pdf
237315444;17/04/2020;IL;ISRAEL;12012;197.485,48;5,7595;EUR;34.288,65;RAVAL ACS LTD;santander;importa‡Æo;326;Aviso 237315444.pdf
237316935;17/04/2020;KR;REPUBLICA DA COREA;12012;127.856,87;5,7595;EUR;22.199,30;SEAH FS CO., LTD.;santander;importa‡Æo;327;Aviso 237316935.pdf
237856329;27/04/2020;IT;ITALIA;12005;25.822,16;6,1132;EUR;4.224,00;SUMIRIKO ITALY SPA;santander;exporta‡Æo;328;Aviso 237856329.pdf
238026334;29/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;81.251,91;5,4291;USD;14.966,00;KURARAY AMERICA;santander;importa‡Æo;329;Aviso 238026334.pdf
238027147;29/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;12.894,11;5,4291;USD;2.375,00;ALFMEIER FRIEDRICHS & RATH LLC;santander;importa‡Æo;330;Aviso 238027147.pdf
238027465;29/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;194.665,81;5,4291;USD;35.856,00;SENSATA TECHNOLOGIES, INC.;santander;importa‡Æo;331;Aviso 238027465.pdf
238027942;29/04/2020;US;ESTADOS UNIDOS DA AMERICA;12012;3.583,21;5,4291;USD;660;ENSINGER PRECISION COMPONENTS;santander;importa‡Æo;332;Aviso 238027942.pdf
238051642;29/04/2020;FR;FRANCA;12012;315.719,08;5,8938;EUR;53.568,00;VALEO SYSTEMES;santander;importa‡Æo;333;Aviso 238051642.pdf
238052449;29/04/2020;DE;ALEMANHA;12012;10.078,40;5,8938;EUR;1.710,00;EAGLE ACTUATOR  EKK;santander;importa‡Æo;334;Aviso 238052449.pdf
238054678;29/04/2020;CH;SUICA;12012;234.985,81;5,8938;EUR;39.870,00;EMS-CHEMIE AG;santander;importa‡Æo;335;Aviso 238054678.pdf
238057938;29/04/2020;IT;ITALIA;12012;29.162,93;5,8938;EUR;4.948,07;C.F ITALIA S.R.L;santander;importa‡Æo;336;Aviso 238057938.pdf
238781919;11/05/2020;TN;TUNISIA;12036;5.237,40;6,235;EUR;840;SUMIRIKO AUTOMOTIVE HOSE TUNISIA SARL;santander;exporta‡Æo;337;Aviso 238781919.pdf
238916141;12/05/2020;DE;ALEMANHA;12012;36.499,67;6,311;EUR;5.783,50;AFT AUTOMOTIVE GMBH;santander;importa‡Æo;338;Aviso 238916141.pdf
238918663;12/05/2020;DE;ALEMANHA;12012;2.355,27;6,311;EUR;373,2;NORMA GERMANY GMBH;santander;importa‡Æo;339;Aviso 238918663.pdf
238918867;12/05/2020;IL;ISRAEL;12012;288.527,56;6,311;EUR;45.718,20;RAVAL ACS LTD;santander;importa‡Æo;340;Aviso 238918867.pdf
238919145;12/05/2020;FR;FRANCA;12012;449.166,49;6,311;EUR;71.172,00;VALEO SYSTEMES;santander;importa‡Æo;341;Aviso 238919145.pdf
